receiveRate,timestamp
33.33333206176758,11734.0
33.33333206176758,11834.0
33.33333206176758,11934.0
36.3636360168457,12334.0
36.3636360168457,12634.0
36.3636360168457,12734.0
41.66666793823242,12934.0
46.153846740722656,13634.0
46.153846740722656,13734.0
46.66666793823242,14334.0
46.66666793823242,14734.0
46.66666793823242,14834.0
46.66666793823242,14934.0
46.66666793823242,15134.0
47.05882263183594,15434.0
47.05882263183594,15734.0
47.05882263183594,15834.0
47.3684196472168,16334.0
47.3684196472168,16534.0
50.0,17034.0
50.0,17134.0
50.0,17234.0
52.380950927734375,17434.0
52.380950927734375,17734.0
52.380950927734375,17934.0
52.380950927734375,18034.0
52.380950927734375,18234.0
52.173912048339844,18634.0
52.173912048339844,18834.0
52.173912048339844,18934.0
52.173912048339844,19034.0
52.0,19534.0
52.0,19834.0
52.0,20134.0
52.0,20234.0
51.85185241699219,20334.0
51.85185241699219,20434.0
51.85185241699219,20534.0
51.85185241699219,20734.0
51.85185241699219,20834.0
51.85185241699219,21034.0
51.85185241699219,21134.0
51.72413635253906,21334.0
51.72413635253906,21534.0
51.72413635253906,21634.0
51.72413635253906,21834.0
51.72413635253906,21934.0
51.72413635253906,22034.0
51.72413635253906,22234.0
51.6129035949707,22334.0
53.125,23034.0
53.125,23134.0
53.125,23234.0
54.54545593261719,23534.0
54.54545593261719,23634.0
55.882354736328125,23834.0
55.882354736328125,23934.0
55.882354736328125,24034.0
55.882354736328125,24234.0
55.882354736328125,24634.0
55.882354736328125,24734.0
55.55555725097656,25034.0
55.55555725097656,25234.0
56.75675582885742,25534.0
56.75675582885742,25634.0
56.75675582885742,25734.0
56.75675582885742,25834.0
56.75675582885742,26234.0
56.410255432128906,26434.0
56.410255432128906,26634.0
57.5,26834.0
57.5,27034.0
57.5,27434.0
57.5,27534.0
57.5,27834.0
57.5,28134.0
57.5,28234.0
57.5,28434.0
57.5,28534.0
57.5,28734.0
54.54545593261719,28834.0
54.54545593261719,28934.0
54.54545593261719,29034.0
55.55555725097656,29435.0
55.55555725097656,29634.0
55.55555725097656,29734.0
55.55555725097656,30234.0
55.319149017333984,30434.0
55.319149017333984,30634.0
55.319149017333984,30734.0
56.25,31134.0
56.25,31234.0
57.14285659790039,31534.0
57.14285659790039,31634.0
56.86274337768555,32434.0
56.86274337768555,32734.0
57.69230651855469,33034.0
58.49056625366211,33334.0
58.49056625366211,33434.0
58.49056625366211,33734.0
58.49056625366211,33834.0
58.49056625366211,33934.0
58.49056625366211,34234.0
58.181819915771484,34434.0
58.181819915771484,34534.0
58.181819915771484,34734.0
58.92856979370117,34834.0
58.92856979370117,35234.0
59.64912414550781,35334.0
59.64912414550781,35434.0
59.64912414550781,35634.0
59.64912414550781,35734.0
59.64912414550781,35834.0
59.64912414550781,36034.0
59.3220329284668,36334.0
60.0,36834.0
60.0,37134.0
60.0,37234.0
60.655738830566406,37434.0
60.655738830566406,37834.0
60.655738830566406,38034.0
60.655738830566406,38134.0
60.31745910644531,38334.0
60.31745910644531,38434.0
60.31745910644531,38534.0
60.31745910644531,38634.0
60.31745910644531,38734.0
60.9375,38934.0
60.9375,39034.0
61.53845977783203,39434.0
61.53845977783203,39634.0
