fly_time:0.0349, notolsr:0, recvcountgt:6164, recvcount:8146, z-index:0.0233
fly_time:0.0535, notolsr:0, recvcountgt:6165, recvcount:8147, z-index:0.0232
fly_time:0.0766, notolsr:0, recvcountgt:6165, recvcount:8147, z-index:0.0233
fly_time:0.0936, notolsr:0, recvcountgt:6165, recvcount:8147, z-index:0.0236
fly_time:0.1159, notolsr:0, recvcountgt:6166, recvcount:8148, z-index:0.0237
fly_time:0.1424, notolsr:0, recvcountgt:6166, recvcount:8148, z-index:0.0238
fly_time:0.1596, notolsr:0, recvcountgt:6167, recvcount:8149, z-index:0.0235
fly_time:0.1808, notolsr:0, recvcountgt:6167, recvcount:8149, z-index:0.0236
fly_time:0.1943, notolsr:0, recvcountgt:6167, recvcount:8149, z-index:0.0238
fly_time:0.2124, notolsr:0, recvcountgt:6168, recvcount:8150, z-index:0.0239
fly_time:0.2489, notolsr:0, recvcountgt:6168, recvcount:8150, z-index:0.0244
fly_time:0.2632, notolsr:0, recvcountgt:6169, recvcount:8151, z-index:0.0247
fly_time:0.2759, notolsr:0, recvcountgt:6169, recvcount:8151, z-index:0.0237
fly_time:0.2924, notolsr:0, recvcountgt:6169, recvcount:8151, z-index:0.0236
fly_time:0.313, notolsr:0, recvcountgt:6170, recvcount:8152, z-index:0.024
fly_time:0.3348, notolsr:0, recvcountgt:6170, recvcount:8152, z-index:0.0231
fly_time:0.42, notolsr:0, recvcountgt:6171, recvcount:8153, z-index:0.0232
fly_time:0.4829, notolsr:0, recvcountgt:6171, recvcount:8153, z-index:0.024
fly_time:0.4881, notolsr:0, recvcountgt:6171, recvcount:8153, z-index:0.0241
fly_time:0.5173, notolsr:0, recvcountgt:6172, recvcount:8154, z-index:0.0241
fly_time:0.53, notolsr:0, recvcountgt:6172, recvcount:8154, z-index:0.0242
fly_time:0.5435, notolsr:0, recvcountgt:6173, recvcount:8155, z-index:0.0238
fly_time:0.5563, notolsr:0, recvcountgt:6173, recvcount:8155, z-index:0.0238
fly_time:0.5588, notolsr:0, recvcountgt:6173, recvcount:8155, z-index:0.0239
fly_time:0.5763, notolsr:0, recvcountgt:6174, recvcount:8156, z-index:0.0231
fly_time:0.6357, notolsr:0, recvcountgt:6174, recvcount:8156, z-index:0.0231
fly_time:0.6433, notolsr:0, recvcountgt:6174, recvcount:8156, z-index:0.0234
fly_time:0.6665, notolsr:0, recvcountgt:6174, recvcount:8156, z-index:0.0236
fly_time:0.6723, notolsr:0, recvcountgt:6174, recvcount:8156, z-index:0.0234
fly_time:0.6806, notolsr:0, recvcountgt:6174, recvcount:8156, z-index:0.0234
fly_time:0.8769, notolsr:0, recvcountgt:6174, recvcount:8156, z-index:0.0232
fly_time:0.9871, notolsr:0, recvcountgt:6175, recvcount:8159, z-index:0.0232
fly_time:1.018, notolsr:0, recvcountgt:6175, recvcount:8159, z-index:0.0232
fly_time:1.0272, notolsr:0, recvcountgt:6175, recvcount:8159, z-index:0.0236
fly_time:1.029, notolsr:0, recvcountgt:6175, recvcount:8159, z-index:0.0237
fly_time:1.0488, notolsr:0, recvcountgt:6175, recvcount:8159, z-index:0.023
fly_time:1.0583, notolsr:0, recvcountgt:6176, recvcount:8161, z-index:0.0229
fly_time:1.0751, notolsr:0, recvcountgt:6176, recvcount:8161, z-index:0.023
fly_time:1.0782, notolsr:0, recvcountgt:6176, recvcount:8161, z-index:0.0229
fly_time:1.102, notolsr:0, recvcountgt:6177, recvcount:8162, z-index:0.023
fly_time:1.107, notolsr:0, recvcountgt:6177, recvcount:8162, z-index:0.0229
fly_time:1.1169, notolsr:0, recvcountgt:6178, recvcount:8163, z-index:0.0229
fly_time:1.1252, notolsr:0, recvcountgt:6178, recvcount:8163, z-index:0.0234
fly_time:1.127, notolsr:0, recvcountgt:6178, recvcount:8163, z-index:0.0234
fly_time:1.1326, notolsr:0, recvcountgt:6179, recvcount:8164, z-index:0.0224
fly_time:1.1407, notolsr:0, recvcountgt:6179, recvcount:8164, z-index:0.0224
fly_time:1.1508, notolsr:0, recvcountgt:6180, recvcount:8165, z-index:0.0222
fly_time:1.158, notolsr:0, recvcountgt:6180, recvcount:8165, z-index:0.0222
fly_time:1.1609, notolsr:0, recvcountgt:6180, recvcount:8165, z-index:0.0221
fly_time:1.1673, notolsr:0, recvcountgt:6181, recvcount:8166, z-index:0.022
fly_time:1.1772, notolsr:0, recvcountgt:6181, recvcount:8166, z-index:0.0219
fly_time:1.1843, notolsr:0, recvcountgt:6182, recvcount:8167, z-index:0.021
fly_time:1.1944, notolsr:0, recvcountgt:6182, recvcount:8167, z-index:0.0209
fly_time:1.196, notolsr:0, recvcountgt:6182, recvcount:8167, z-index:0.0208
fly_time:1.2036, notolsr:0, recvcountgt:6183, recvcount:8168, z-index:0.0208
fly_time:1.2104, notolsr:0, recvcountgt:6183, recvcount:8168, z-index:0.0208
fly_time:1.2195, notolsr:0, recvcountgt:6184, recvcount:8169, z-index:0.0207
fly_time:1.2268, notolsr:0, recvcountgt:6184, recvcount:8169, z-index:0.0212
fly_time:1.2279, notolsr:0, recvcountgt:6184, recvcount:8169, z-index:0.0211
fly_time:1.2501, notolsr:0, recvcountgt:6185, recvcount:8170, z-index:0.0212
fly_time:1.3149, notolsr:0, recvcountgt:6185, recvcount:8170, z-index:0.0211
fly_time:1.324, notolsr:0, recvcountgt:6186, recvcount:8171, z-index:0.0211
fly_time:1.3315, notolsr:0, recvcountgt:6186, recvcount:8171, z-index:0.0215
fly_time:1.3327, notolsr:0, recvcountgt:6186, recvcount:8171, z-index:0.0215
fly_time:1.3413, notolsr:0, recvcountgt:6187, recvcount:8172, z-index:0.0213
fly_time:1.3501, notolsr:0, recvcountgt:6187, recvcount:8172, z-index:0.0214
fly_time:1.3611, notolsr:0, recvcountgt:6188, recvcount:8173, z-index:0.0212
fly_time:1.3757, notolsr:0, recvcountgt:6188, recvcount:8173, z-index:0.0212
fly_time:1.395, notolsr:0, recvcountgt:6188, recvcount:8173, z-index:0.0211
fly_time:1.4124, notolsr:0, recvcountgt:6189, recvcount:8174, z-index:0.0211
fly_time:1.437, notolsr:0, recvcountgt:6189, recvcount:8174, z-index:0.0211
fly_time:1.4546, notolsr:0, recvcountgt:6190, recvcount:8175, z-index:0.0215
fly_time:1.4766, notolsr:0, recvcountgt:6190, recvcount:8175, z-index:0.0216
fly_time:1.4929, notolsr:0, recvcountgt:6190, recvcount:8175, z-index:0.0214
fly_time:1.5173, notolsr:0, recvcountgt:6191, recvcount:8176, z-index:0.0214
fly_time:1.5348, notolsr:0, recvcountgt:6191, recvcount:8176, z-index:0.0217
fly_time:1.5659, notolsr:0, recvcountgt:6192, recvcount:8177, z-index:0.0217
fly_time:1.5802, notolsr:0, recvcountgt:6192, recvcount:8177, z-index:0.0218
fly_time:1.5926, notolsr:0, recvcountgt:6192, recvcount:8177, z-index:0.0219
fly_time:1.6139, notolsr:0, recvcountgt:6193, recvcount:8178, z-index:0.022
fly_time:1.6438, notolsr:0, recvcountgt:6193, recvcount:8178, z-index:0.0221
fly_time:1.6531, notolsr:0, recvcountgt:6194, recvcount:8179, z-index:0.0222
fly_time:1.6777, notolsr:0, recvcountgt:6194, recvcount:8179, z-index:0.0214
fly_time:1.693, notolsr:0, recvcountgt:6194, recvcount:8179, z-index:0.0213
fly_time:1.7134, notolsr:0, recvcountgt:6195, recvcount:8180, z-index:0.0212
fly_time:1.7336, notolsr:0, recvcountgt:6195, recvcount:8180, z-index:0.0212
fly_time:1.7581, notolsr:0, recvcountgt:6196, recvcount:8181, z-index:0.0212
fly_time:1.7837, notolsr:0, recvcountgt:6196, recvcount:8181, z-index:0.0221
fly_time:1.7995, notolsr:0, recvcountgt:6196, recvcount:8181, z-index:0.0223
fly_time:1.8163, notolsr:0, recvcountgt:6197, recvcount:8182, z-index:0.0222
fly_time:1.8366, notolsr:0, recvcountgt:6197, recvcount:8182, z-index:0.0223
fly_time:1.878, notolsr:0, recvcountgt:6198, recvcount:8183, z-index:0.0226
fly_time:1.8935, notolsr:0, recvcountgt:6198, recvcount:8183, z-index:0.0229
fly_time:1.8967, notolsr:0, recvcountgt:6198, recvcount:8183, z-index:0.0222
fly_time:1.9145, notolsr:0, recvcountgt:6199, recvcount:8184, z-index:0.0226
fly_time:1.9347, notolsr:0, recvcountgt:6199, recvcount:8184, z-index:0.0227
fly_time:1.9632, notolsr:0, recvcountgt:6200, recvcount:8185, z-index:0.0225
fly_time:1.9819, notolsr:0, recvcountgt:6200, recvcount:8185, z-index:0.0226
fly_time:1.9944, notolsr:0, recvcountgt:6200, recvcount:8185, z-index:0.0224
fly_time:2.0137, notolsr:0, recvcountgt:6201, recvcount:8186, z-index:0.0224
fly_time:2.0336, notolsr:0, recvcountgt:6201, recvcount:8186, z-index:0.0214
fly_time:2.0554, notolsr:0, recvcountgt:6202, recvcount:8187, z-index:0.0214
fly_time:2.076, notolsr:0, recvcountgt:6202, recvcount:8187, z-index:0.0207
fly_time:2.0939, notolsr:0, recvcountgt:6202, recvcount:8187, z-index:0.0205
fly_time:2.1148, notolsr:0, recvcountgt:6203, recvcount:8188, z-index:0.0205
fly_time:2.1333, notolsr:0, recvcountgt:6203, 
