fly_time:1.4692, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0145
fly_time:1.4886, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0155
fly_time:1.5089, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0155
fly_time:1.5302, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.015
fly_time:1.5497, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0149
fly_time:1.5691, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0149
fly_time:1.5895, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0127
fly_time:1.6083, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0125
fly_time:1.63, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0133
fly_time:1.6492, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0131
fly_time:1.6699, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0151
fly_time:1.6886, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0151
fly_time:1.7091, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0155
fly_time:1.7312, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0157
fly_time:1.7492, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0155
fly_time:1.7692, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0156
fly_time:1.7889, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0157
fly_time:1.8094, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0168
fly_time:1.8319, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.017
fly_time:1.8493, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0164
fly_time:1.8691, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0165
fly_time:1.8899, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.016
fly_time:1.9096, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.016
fly_time:1.9329, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0153
fly_time:1.9496, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0153
fly_time:1.9694, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:1.9892, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0142
fly_time:2.0098, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0141
fly_time:2.0301, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0144
fly_time:2.0493, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0143
fly_time:2.0701, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0153
fly_time:2.0894, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0153
fly_time:2.1101, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0148
fly_time:2.1295, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0148
fly_time:2.1493, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0148
fly_time:2.1691, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0148
fly_time:2.1893, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0157
fly_time:2.2105, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0158
fly_time:2.2299, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0159
fly_time:2.2491, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0148
fly_time:2.2701, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0148
fly_time:2.2895, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0153
fly_time:2.3101, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0153
fly_time:2.33, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.016
fly_time:2.3492, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0163
fly_time:2.3689, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0159
fly_time:2.3898, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0161
fly_time:2.4091, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0167
fly_time:2.4301, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0171
fly_time:2.4491, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0174
fly_time:2.4694, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0164
fly_time:2.4897, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0166
fly_time:2.5091, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0137
fly_time:2.5307, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0135
fly_time:2.5499, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0099
fly_time:2.5702, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0096
fly_time:2.5895, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0055
fly_time:2.6101, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0049
fly_time:2.631, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0026
fly_time:2.6498, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0022
fly_time:2.6692, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0015
fly_time:2.6902, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0007
fly_time:2.71, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0011
fly_time:2.7304, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0013
fly_time:2.75, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0015
fly_time:2.7703, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0013
fly_time:2.7894, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0016
fly_time:2.8102, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0018
fly_time:2.8305, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0041
fly_time:2.8499, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.004
fly_time:2.87, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0055
fly_time:2.8899, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0076
fly_time:2.9102, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0065
fly_time:2.9309, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0085
fly_time:2.9493, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0112
fly_time:2.9697, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0124
fly_time:2.9899, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0198
fly_time:3.0105, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0227
fly_time:3.031, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0304
fly_time:3.0502, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0338
fly_time:3.0703, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0418
fly_time:3.0906, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0456
fly_time:3.1109, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0493
fly_time:3.1323, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0563
fly_time:3.1505, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.06
fly_time:3.1707, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.067
fly_time:3.1902, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0705
fly_time:3.2111, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.076
fly_time:3.231, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0794
fly_time:3.2499, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0843
fly_time:3.271, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0875
fly_time:3.2911, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0905
fly_time:3.31, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0934
fly_time:3.3314, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0948
fly_time:3.3512, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0972
fly_time:3.3707, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.0984
fly_time:3.3914, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1004
fly_time:3.4103, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1026
fly_time:3.4315, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1029
fly_time:3.4513, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.105
fly_time:3.47, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1063
fly_time:3.49, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1086
fly_time:3.5105, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1092
